,popularity,budget,revenue,runtime,vote_average,vote_count,percent_return,year,is_english,is_Friday,is_Holiday
170,100.048,50000000.0,41000000.0,144.0,7.04,149.0,0.82,2022,1,0,0
171,99.539,1000000.0,9423445.0,102.0,7.376,531.0,9.423445,2022,1,1,0
172,99.327,150000000.0,1671537444.0,124.0,6.678,18835.0,11.14358296,2015,1,1,0
173,99.326,20000000.0,88761661.0,101.0,7.4,16673.0,4.43808305,2014,1,0,0
174,99.301,20000000.0,104186860.0,111.0,6.4,1168.0,5.209343,2022,1,0,0
175,98.929,60000000.0,124600000.0,100.0,7.8,6395.0,2.0766666666666667,2009,1,0,0
176,98.772,59000000.0,383257136.0,81.0,7.341,11777.0,6.495883661016949,2002,1,0,0
177,98.709,250000000.0,774153007.0,163.0,7.429,5022.0,3.096612028,2021,1,0,0
178,98.536,65000000.0,215905815.0,95.0,7.5,3280.0,3.3216279230769232,2020,1,0,0
179,98.336,40000000.0,51783040.0,136.0,6.8,1423.0,1.294576,2022,1,0,0
180,97.677,5000000.0,4493306.0,136.0,6.7,471.0,0.8986612,2021,0,0,0
181,97.563,58000000.0,783100000.0,108.0,7.601,27974.0,13.501724137931037,2016,1,0,0
182,97.419,145000000.0,521170825.0,95.0,6.86,5035.0,3.594281551724138,2016,1,0,0
183,97.133,12000000.0,31478826.0,96.0,7.921,860.0,2.6232355,2018,0,1,0
184,97.116,1488423.0,184925486.0,83.0,7.1,6558.0,124.24256142239136,1937,1,0,0
185,97.091,55000000.0,1074458282.0,122.0,8.17,22273.0,19.535605127272728,2019,1,0,0
186,96.639,19000000.0,274925095.0,125.0,8.5,13991.0,14.469741842105265,2002,0,1,0
187,96.539,15000000.0,356830601.0,110.0,7.026,7104.0,23.78870673333333,1986,1,1,0
188,96.51,17000000.0,61779301.0,92.0,8.078,5561.0,3.634076529411765,2021,1,0,0
189,96.375,60000000.0,286801374.0,189.0,8.507,15093.0,4.7800229,1999,1,1,0
190,95.964,150000000.0,1274219009.0,102.0,7.25,14973.0,8.494793393333333,2013,1,0,0
191,95.801,80000000.0,247022278.0,101.0,6.103,3663.0,3.087778475,2013,1,0,0
192,95.678,53000000.0,127944208.0,109.0,7.3,4337.0,2.4140416603773587,2009,1,0,0
193,95.488,250000000.0,873637528.0,152.0,5.94,16534.0,3.494550112,2016,1,0,0
194,95.233,200000000.0,559852396.0,106.0,6.0,6745.0,2.79926198,2011,1,0,0
195,95.214,125000000.0,485004754.0,101.0,5.9,6147.0,3.880038032,2014,1,0,0
196,95.202,110000000.0,299268508.0,127.0,7.0,7135.0,2.7206228,2011,1,0,0
197,95.09,250000000.0,956019788.0,144.0,7.3,12678.0,3.824079152,2014,1,0,0
198,95.002,68000000.0,170823080.0,130.0,6.935,2527.0,2.5121041176470587,2022,1,0,0
199,94.811,200000000.0,1065659812.0,151.0,7.3,14244.0,5.32829906,2006,1,0,0
200,94.614,260000000.0,1663075401.0,118.0,7.1,8943.0,6.39644385,2019,1,1,0
201,94.513,200000000.0,14400000.0,138.0,7.9,6157.0,0.072,2021,1,1,0
202,94.159,11000000.0,775398007.0,121.0,8.208,18302.0,70.49072790909091,1977,1,0,0
203,94.159,15600000.0,23500000.0,147.0,7.356,804.0,1.5064102564102564,2022,1,1,0
204,94.014,155000000.0,440603537.0,126.0,5.905,7536.0,2.842603464516129,2015,1,0,0
205,93.525,120000000.0,829747654.0,115.0,6.474,8094.0,6.9145637833333335,2012,1,0,0
206,93.174,90000000.0,304320254.0,88.0,7.9,8536.0,3.381336155555556,1998,1,0,0
207,93.075,45000000.0,41800000.0,98.0,6.822,216.0,0.9288888888888888,2022,1,0,0
208,92.892,55000000.0,378827494.0,118.0,6.5,7025.0,6.887772618181818,2017,1,0,0
209,92.847,55000000.0,192330738.0,132.0,7.2,7664.0,3.496922509090909,2014,1,0,0
210,92.753,175000000.0,735099082.0,96.0,7.942,18116.0,4.200566182857143,2009,1,0,0
211,92.417,25000000.0,28341469.0,142.0,8.7,23353.0,1.13365876,1994,1,1,0
212,92.267,14000000.0,1755212.0,89.0,7.971,2414.0,0.1253722857142857,2010,1,1,0
213,91.811,180000000.0,758539785.0,97.0,7.091,12113.0,4.214109916666667,2014,1,0,0
214,91.531,129000000.0,524580592.0,104.0,7.8,5518.0,4.066516217054264,2019,1,0,0
215,91.248,140000000.0,585174222.0,126.0,7.631,23978.0,4.179815871428572,2008,1,0,0
216,91.108,42000000.0,39861118.0,110.0,6.8,4502.0,0.949074238095238,2020,1,0,0
217,90.965,20000000.0,23384502.0,100.0,6.7,1290.0,1.1692251,2021,1,0,0
218,90.918,47000000.0,48919043.0,94.0,7.0,2551.0,1.0408307021276595,1993,1,1,0
219,90.914,75000000.0,191000000.0,124.0,7.527,3491.0,2.546666666666667,2021,1,0,0
220,90.839,37000000.0,393616788.0,122.0,6.292,12176.0,10.638291567567569,2008,1,0,0
221,90.661,110000000.0,712171856.0,117.0,6.2,7971.0,6.4742896,2011,1,0,0
222,90.64,58800000.0,542307423.0,133.0,7.434,11667.0,9.222915357142858,2014,1,0,0
223,90.484,25000000.0,235956898.0,127.0,8.056,8456.0,9.43827592,2016,1,0,0
224,90.359,150000000.0,623726000.0,111.0,7.8,14952.0,4.158173333333333,2007,1,0,0
225,90.129,8400000.0,27658331.0,120.0,7.0,122.0,3.292658452380953,2021,0,1,0
226,89.494,20000000.0,207945075.0,110.0,7.905,10838.0,10.39725375,2016,1,0,0
227,89.39,19000000.0,278019771.0,88.0,6.322,6012.0,14.63261952631579,2000,1,1,0
228,89.001,90000000.0,375540831.0,117.0,8.409,12381.0,4.1726759,2018,1,1,0
229,88.942,10500000.0,45352337.0,103.0,6.9,1269.0,4.319270190476191,2022,1,0,0
230,88.906,75000000.0,508575295.0,85.0,6.8,3218.0,6.781003933333333,2018,1,0,0
231,88.901,13000000.0,426588510.0,113.0,8.272,15470.0,32.81450076923077,2011,0,0,0
232,88.448,13000000.0,320406242.0,112.0,7.537,10147.0,24.646634,2013,1,0,0
233,88.399,30000000.0,102820008.0,112.0,7.037,4467.0,3.4273336,2010,1,0,0
234,88.342,68000000.0,215863606.0,115.0,6.3,6574.0,3.174464794117647,2015,1,0,0
235,88.204,250000000.0,1081041287.0,165.0,7.775,20537.0,4.324165148,2012,1,0,0
236,87.952,165000000.0,677796076.0,115.0,7.4,20191.0,4.107855006060606,2016,1,0,0
237,87.945,28000000.0,504050219.0,90.0,7.645,10160.0,18.001793535714285,1992,1,0,0
238,87.73,35000000.0,469310836.0,100.0,7.308,15191.0,13.408881028571429,2009,1,0,0
